type,question,answer,cited_pages,note
course,รหัสวิชา 06026211 ชื่อวิชาอะไร และมีหน่วยกิตเท่าไหร่?,การเรียนรู้ของเครื่องเชิงประยุกต์ (APPLIED MACHINE LEARNING) 3(2-2-5) หน่วยกิต,18;323,ground truth: code 06026211
course,วิชา 90641001 CHARM SCHOOL มีกี่หน่วยกิต และพบข้อมูลอยู่กี่หน้าในเล่มหลักสูตร?,"2(1-2-3) หน่วยกิต พบใน 4 หน้า (16, 123, 125, 234) เพราะเป็นวิชาศึกษาทั่วไปที่ปรากฏซ้ำในตารางหลักสูตรของหลายสาขา ไม่ใช่แค่ DSBA",16;123;125;234,ground truth: code 90641001
course,วิชา 06026225 ชื่อเต็มภาษาอังกฤษคืออะไร และโครงสร้างหน่วยกิต 3(2-2-5) แปลว่าอะไร?,DEEP LEARNING IN MEDICAL IMAGE AND VIDEO ANALYSIS -- 3 หน่วยกิต คือ บรรยาย 2 ชม. / ปฏิบัติ 2 ชม. / ศึกษาด้วยตนเอง 5 ชม. ต่อสัปดาห์,19;329,ground truth: code 06026225
course,วิชา 06026209 คือวิชาอะไร และต้องลงทะเบียนเรียนปีไหน เทอมไหน?,การแสดงข้อมูลด้วยแผนภาพ (DATA VISUALIZATION) เรียนปี 2 เทอม 2,18;26;322,ground truth: code 06026209
course,รหัสวิชา 06026212 ต้องผ่านวิชาอะไรมาก่อนถึงจะลงทะเบียนได้?,ต้องผ่านวิชา 06066300 มาก่อน (prerequisite) -- 06026212 คือ การสร้างคลังข้อมูล (DATA WAREHOUSING),18;323,"ground truth: code 06026212, field 'prerequisite'"
course,การจะเรียนวิชารหัส 06026201 ได้ ต้องเรียนวิชาใดมาก่อน?,ต้องผ่านวิชา 06026200 (แคลคูลัส 1 / CALCULUS 1) มาก่อน -- 06026201 คือ แคลคูลัส 2 (CALCULUS 2),17;31;314,"ground truth: code 06026201, field 'prerequisite'"
course,วิชาใดบ้างที่ต้องเรียนในปี 1 เทอม 1?,"8 วิชา: 06016401 (คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ), 06026200 (แคลคูลัส 1), 06026202 (พีชคณิตเชิงเส้น), 06066101 (พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ), 06066303 (การแก้ปัญหาและการโปรแกรมคอมพิวเตอร์), 90641001 (CHARM SCHOOL), 90641003 (กีฬาและนันทนาการ), 90644007 (ภาษาอังกฤษพื้นฐาน 1) -- ทุกวิชายกเว้น 06016401 มีหน้าอ้างอิงในตารางหลักสูตรโดยตรง ส่วน 06016401 ไม่พบรหัสในตารางเลย พบเพียงชื่อวิชาในหน้าภาระงานสอนอาจารย์ (หน้า 49, ไม่ใช่หลักฐานยืนยันด้วยรหัส)",16;17;18;23;30;123;125;136;151;234;273;314;315;317;319;49(name-only),"ground truth: filtered by year=1, semester=1"
course,ในแต่ละปี มีวิชาหมวดวิชาเฉพาะกับหมวดวิชาศึกษาทั่วไปอย่างละกี่วิชา?,ปี 1: เฉพาะ 9 / ทั่วไป 6 | ปี 2: เฉพาะ 12 / ทั่วไป 0 | ปี 3: เฉพาะ 5 / ทั่วไป 2 | ปี 4: เฉพาะ 1 / ทั่วไป 0 -- นอกจากนี้มีวิชาเลือก 45 วิชา (หมวดวิชาเฉพาะทั้งหมด) ที่ไม่ผูกกับปีตายตัว เลือกลงได้ตามเงื่อนไข flexible_year_semester ของแต่ละวิชา,15,ground truth: aggregated by year + category; หน้า 15 มีตารางโครงสร้างหลักสูตรโดยรวม
course,หลักสูตร DSBA มีวิชาบังคับกับวิชาเลือกอย่างละกี่วิชา?,"วิชาบังคับ 35 วิชา, วิชาเลือก 45 วิชา (รวม 80 วิชาตาม ground truth)",15,ground truth: aggregated by field 'type'
course,มีวิชาที่เกี่ยวกับ Machine Learning หรือ AI โดยตรงกี่วิชา อะไรบ้าง?,"6 วิชา: Applied Machine Learning (06026211), Artificial Intelligence (06026216), Machine Learning (06026217), Deep Learning (06026218), Deep Learning in Medical Image and Video Analysis (06026225), Machine Learning Operations (06026241)",18;19;21;323;325;326;329;334,ground truth: filtered by keyword in name_en
